text,label,category
"In a public statement, officials confirmed that Tokyo Electric Power Company began releasing treated wastewater from the Fukushima Daiichi nuclear power station following IAEA regulatory approval.",0,international
"In a public statement, officials confirmed that The Bank of England raised interest rates by 25 basis points in an effort to bring inflation down toward its 2 percent target.",0,economy
"In a public statement, officials confirmed that The Environmental Protection Agency finalized national drinking water standards targeting six per- and polyfluoroalkyl substances.",0,environment
100% EXPOSED: BREAKING: WHO secretly voted to dissolve all national sovereignty and will replace world governments with an unelected global council next month!,1,politics
"MUST WATCH: Secret cure for diabetes discovered in Himalayan tree bark, but major pharmaceutical corporations are assassinating anyone who speaks out!",1,health
"In a public statement, officials confirmed that The Federal Reserve held its benchmark interest rate steady following the two-day Federal Open Market Committee meeting in Washington.",0,economy
MUST WATCH: Drinking magnetic water reverses aging process by 25 years in 3 days according to suppressed Nobel Prize winner.,1,health
THEY DONT WANT YOU TO KNOW: Global billionaire cabal caught on camera admitting they invented winter weather to sell electric heaters and manipulate fossil fuels!,1,conspiracy
THEY DONT WANT YOU TO KNOW: Scientific study reveals that human DNA changes into reptile genetics if you consume genetically modified corn or artificial sweeteners.,1,science
100% EXPOSED: SHOCKING: NASA discovered alien civilizations on Mars and has been secretly hiding underground cities beneath Martian craters for decades!,1,science
100% EXPOSED: The Government has officially banned all 500 rupee banknotes starting midnight today and will seize bank accounts of non-compliant citizens.,1,economy
"In a public statement, officials confirmed that India's space agency ISRO successfully launched the Aditya-L1 spacecraft to study the Sun from the Lagrange point L1.",0,science
SHARE BEFORE DELETED: CONFIRMED: The United Nations has ordered immediate confiscation of all private gold jewelry from citizens worldwide by December.,1,economy
TERRIFYING TRUTH REVEALED: Scientific study reveals that human DNA changes into reptile genetics if you consume genetically modified corn or artificial sweeteners.,1,science
THEY DONT WANT YOU TO KNOW: Proof exposed that the Moon is actually a hollow surveillance satellite controlled by ancient civilizations monitoring human brainwaves.,1,conspiracy
TERRIFYING TRUTH REVEALED: Proof exposed that the Moon is actually a hollow surveillance satellite controlled by ancient civilizations monitoring human brainwaves.,1,conspiracy
SHARE BEFORE DELETED: Subliminal frequencies in television weather forecasts are causing spontaneous sleepwalking among residential neighborhoods.,1,technology
"In a public statement, officials confirmed that Astronomers detected high-energy neutrinos originating from the active galaxy NGC 1068 using the IceCube Neutrino Observatory in Antarctica.",0,science
Government agencies stated that United Nations climate summit delegates reached an agreement on operationalizing the Loss and Damage fund for vulnerable nations affected by severe weather.,0,environment
The Bank of England raised interest rates by 25 basis points in an effort to bring inflation down toward its 2 percent target.,0,economy
"SHARE BEFORE DELETED: Secret cure for diabetes discovered in Himalayan tree bark, but major pharmaceutical corporations are assassinating anyone who speaks out!",1,health
SHARE BEFORE DELETED: The Government has officially banned all 500 rupee banknotes starting midnight today and will seize bank accounts of non-compliant citizens.,1,economy
The National Oceanic and Atmospheric Administration recorded sea surface temperatures reaching seasonal highs across the North Atlantic basin.,0,environment
"In a public statement, officials confirmed that The Centers for Disease Control and Prevention issued updated guidance on seasonal influenza vaccination for the upcoming winter season.",0,health
"In a public statement, officials confirmed that A new high-speed rail line connecting major metropolitan hubs commenced commercial passenger operations after comprehensive safety certification.",0,transportation
"According to verified records, Astronomers detected high-energy neutrinos originating from the active galaxy NGC 1068 using the IceCube Neutrino Observatory in Antarctica.",0,science
Proof exposed that the Moon is actually a hollow surveillance satellite controlled by ancient civilizations monitoring human brainwaves.,1,conspiracy
THEY DONT WANT YOU TO KNOW: Drinking magnetic water reverses aging process by 25 years in 3 days according to suppressed Nobel Prize winner.,1,health
Global billionaire cabal caught on camera admitting they invented winter weather to sell electric heaters and manipulate fossil fuels!,1,conspiracy
Official report indicates: University researchers sequenced the genome of drought-resistant crop variants to support sustainable agriculture in arid climates.,0,science
Billionaires have built secret space arks on the Moon to flee Earth while secretly initiating worldwide tectonic earthquakes.,1,conspiracy
Reuters and AP confirmed that University researchers sequenced the genome of drought-resistant crop variants to support sustainable agriculture in arid climates.,0,science
"TERRIFYING TRUTH REVEALED: URGENT ALERT: Drinking boiled garlic water with lemon cures all stages of cancer within 48 hours, according to banned secret doctors!",1,health
"According to verified records, NASA's Curiosity rover identified diverse organic molecules in rock samples collected at Gale Crater on Mars.",0,science
TERRIFYING TRUTH REVEALED: The Government has officially banned all 500 rupee banknotes starting midnight today and will seize bank accounts of non-compliant citizens.,1,economy
SHARE BEFORE DELETED: Proof exposed that the Moon is actually a hollow surveillance satellite controlled by ancient civilizations monitoring human brainwaves.,1,conspiracy
Tokyo Electric Power Company began releasing treated wastewater from the Fukushima Daiichi nuclear power station following IAEA regulatory approval.,0,international
Scientists using the James Webb Space Telescope observed atmospheric water vapor in the inner disk around the young star PDS 70.,0,science
Drinking saltwater every morning completely eliminates the need for kidney dialysis and reverses all chronic organ failures overnight.,1,health
SHARE BEFORE DELETED: BREAKING: WHO secretly voted to dissolve all national sovereignty and will replace world governments with an unelected global council next month!,1,politics
TERRIFYING TRUTH REVEALED: Drinking saltwater every morning completely eliminates the need for kidney dialysis and reverses all chronic organ failures overnight.,1,health
THEY DONT WANT YOU TO KNOW: Every ATM machine across the nation will permanently shut down tomorrow morning due to an unscheduled satellite solar wipeout.,1,economy
Government agencies stated that The Environmental Protection Agency finalized national drinking water standards targeting six per- and polyfluoroalkyl substances.,0,environment
"In a public statement, officials confirmed that University researchers sequenced the genome of drought-resistant crop variants to support sustainable agriculture in arid climates.",0,science
100% EXPOSED: Eating two raw onions before sleeping creates an invisible bio-shield that repels all viral infections and radiation waves.,1,health
Eating two raw onions before sleeping creates an invisible bio-shield that repels all viral infections and radiation waves.,1,health
Government agencies stated that Researchers at MIT and Harvard published peer-reviewed findings showing improved efficiency in perovskite tandem solar cells exceeding 30% conversion rate.,0,technology
Government agencies stated that The Supreme Court ruled unanimously in favor of protecting digital privacy on mobile communication devices under the Fourth Amendment.,0,politics
"Official report indicates: World Health Organization declared the end of the global emergency phase for COVID-19, while stressing that the virus remains an ongoing health threat.",0,health
Oxford University trial results confirmed that a novel malaria vaccine showed 77 percent efficacy over 12 months of follow-up.,0,health
Government agencies stated that A new high-speed rail line connecting major metropolitan hubs commenced commercial passenger operations after comprehensive safety certification.,0,transportation
Official report indicates: United Nations climate summit delegates reached an agreement on operationalizing the Loss and Damage fund for vulnerable nations affected by severe weather.,0,environment
100% EXPOSED: Smartphones now emit invisible ultrasonic pulses that erase personal memories whenever users browse political news.,1,technology
"According to verified records, The Environmental Protection Agency finalized national drinking water standards targeting six per- and polyfluoroalkyl substances.",0,environment
Reuters and AP confirmed that The Centers for Disease Control and Prevention issued updated guidance on seasonal influenza vaccination for the upcoming winter season.,0,health
"According to verified records, Elections Canada reported an official voter turnout of 62 percent in the general election, with certified ballots finalized.",0,politics
Global semiconductor manufacturing equipment billings increased 5 percent year-over-year according to industry trade association reports.,0,technology
Government agencies stated that The Centers for Disease Control and Prevention issued updated guidance on seasonal influenza vaccination for the upcoming winter season.,0,health
Government agencies stated that Global semiconductor manufacturing equipment billings increased 5 percent year-over-year according to industry trade association reports.,0,technology
Official report indicates: The International Monetary Fund projected global GDP growth to remain resilient at 3.2 percent for the current fiscal year.,0,economy
"In a public statement, officials confirmed that World Health Organization declared the end of the global emergency phase for COVID-19, while stressing that the virus remains an ongoing health threat.",0,health
"THEY DONT WANT YOU TO KNOW: Ancient pyramid discovered beneath Antarctica ice sheet proves humans lived with dinosaurs 5,000 years ago.",1,science
Leaked documents prove 5G cellular towers are transmitting frequencies designed to mind-control the global population during full moons.,1,technology
Reuters and AP confirmed that The National Oceanic and Atmospheric Administration recorded sea surface temperatures reaching seasonal highs across the North Atlantic basin.,0,environment
100% EXPOSED: Subliminal frequencies in television weather forecasts are causing spontaneous sleepwalking among residential neighborhoods.,1,technology
Government agencies stated that The Reserve Bank of India announced that 93 percent of discontinued 2000 rupee notes had returned to the banking system.,0,economy
"According to verified records, The Ministry of Health confirmed 1,200 new dengue cases across regional hospitals, urging residents to eliminate stagnant water containers.",0,health
SHOCKING: NASA discovered alien civilizations on Mars and has been secretly hiding underground cities beneath Martian craters for decades!,1,science
"In a public statement, officials confirmed that Oxford University trial results confirmed that a novel malaria vaccine showed 77 percent efficacy over 12 months of follow-up.",0,health
100% EXPOSED: Leaked documents prove 5G cellular towers are transmitting frequencies designed to mind-control the global population during full moons.,1,technology
"According to verified records, The Centers for Disease Control and Prevention issued updated guidance on seasonal influenza vaccination for the upcoming winter season.",0,health
United Nations climate summit delegates reached an agreement on operationalizing the Loss and Damage fund for vulnerable nations affected by severe weather.,0,environment
THEY DONT WANT YOU TO KNOW: Drinking saltwater every morning completely eliminates the need for kidney dialysis and reverses all chronic organ failures overnight.,1,health
TERRIFYING TRUTH REVEALED: Smartphones now emit invisible ultrasonic pulses that erase personal memories whenever users browse political news.,1,technology
The Government has officially banned all 500 rupee banknotes starting midnight today and will seize bank accounts of non-compliant citizens.,1,economy
"According to verified records, University researchers sequenced the genome of drought-resistant crop variants to support sustainable agriculture in arid climates.",0,science
"According to verified records, India's space agency ISRO successfully launched the Aditya-L1 spacecraft to study the Sun from the Lagrange point L1.",0,science
SHARE BEFORE DELETED: Drinking saltwater every morning completely eliminates the need for kidney dialysis and reverses all chronic organ failures overnight.,1,health
THEY DONT WANT YOU TO KNOW: HOSPITAL SCANDAL: Doctors caught replacing newborn babies with synthetic androids to test artificial intelligence emotions.,1,technology
"According to verified records, Tokyo Electric Power Company began releasing treated wastewater from the Fukushima Daiichi nuclear power station following IAEA regulatory approval.",0,international
"In a public statement, officials confirmed that The Reserve Bank of India announced that 93 percent of discontinued 2000 rupee notes had returned to the banking system.",0,economy
"According to verified records, France and Germany announced a joint bilateral energy cooperation agreement to balance cross-border power transmission grids.",0,international
Government agencies stated that Astronomers detected high-energy neutrinos originating from the active galaxy NGC 1068 using the IceCube Neutrino Observatory in Antarctica.,0,science
NASA's Curiosity rover identified diverse organic molecules in rock samples collected at Gale Crater on Mars.,0,science
EXPOSED: Secret underground tunnels discovered connecting Washington DC directly to the Vatican for covert currency shipments.,1,politics
100% EXPOSED: Drinking saltwater every morning completely eliminates the need for kidney dialysis and reverses all chronic organ failures overnight.,1,health
SHARE BEFORE DELETED: Billionaires have built secret space arks on the Moon to flee Earth while secretly initiating worldwide tectonic earthquakes.,1,conspiracy
100% EXPOSED: Billionaires have built secret space arks on the Moon to flee Earth while secretly initiating worldwide tectonic earthquakes.,1,conspiracy
The International Monetary Fund projected global GDP growth to remain resilient at 3.2 percent for the current fiscal year.,0,economy
MUST WATCH: Scientific study reveals that human DNA changes into reptile genetics if you consume genetically modified corn or artificial sweeteners.,1,science
"According to verified records, The National Oceanic and Atmospheric Administration recorded sea surface temperatures reaching seasonal highs across the North Atlantic basin.",0,environment
Government agencies stated that Scientists using the James Webb Space Telescope observed atmospheric water vapor in the inner disk around the young star PDS 70.,0,science
BREAKING: WHO secretly voted to dissolve all national sovereignty and will replace world governments with an unelected global council next month!,1,politics
Government agencies stated that The Federal Reserve held its benchmark interest rate steady following the two-day Federal Open Market Committee meeting in Washington.,0,economy
SHARE BEFORE DELETED: Military generals revealed that microchips are hidden inside standard toothpastes to track citizen movements without satellite radar.,1,technology
"SHARE BEFORE DELETED: Astronomers confirm a rogue planet named Nibiru will collide with Earth next Tuesday, causing worldwide electromagnetic blackouts!",1,science
Official report indicates: NASA's Curiosity rover identified diverse organic molecules in rock samples collected at Gale Crater on Mars.,0,science
"100% EXPOSED: NASA rover photographed traffic lights and paved highways on the far side of Mars, confirming alien rush hour.",1,science
Smartphones now emit invisible ultrasonic pulses that erase personal memories whenever users browse political news.,1,technology
"In a public statement, officials confirmed that The Supreme Court ruled unanimously in favor of protecting digital privacy on mobile communication devices under the Fourth Amendment.",0,politics
Official report indicates: The National Oceanic and Atmospheric Administration recorded sea surface temperatures reaching seasonal highs across the North Atlantic basin.,0,environment
THEY DONT WANT YOU TO KNOW: New government bill mandates mandatory barcode tattoos on citizens' foreheads to enter grocery stores and public parks.,1,politics
SHARE BEFORE DELETED: New government bill mandates mandatory barcode tattoos on citizens' foreheads to enter grocery stores and public parks.,1,politics
"According to verified records, The Reserve Bank of India announced that 93 percent of discontinued 2000 rupee notes had returned to the banking system.",0,economy
"SHARE BEFORE DELETED: NASA rover photographed traffic lights and paved highways on the far side of Mars, confirming alien rush hour.",1,science
Official report indicates: The Centers for Disease Control and Prevention issued updated guidance on seasonal influenza vaccination for the upcoming winter season.,0,health
Official report indicates: Oxford University trial results confirmed that a novel malaria vaccine showed 77 percent efficacy over 12 months of follow-up.,0,health
The Federal Reserve held its benchmark interest rate steady following the two-day Federal Open Market Committee meeting in Washington.,0,economy
"In a public statement, officials confirmed that France and Germany announced a joint bilateral energy cooperation agreement to balance cross-border power transmission grids.",0,international
A new high-speed rail line connecting major metropolitan hubs commenced commercial passenger operations after comprehensive safety certification.,0,transportation
100% EXPOSED: Every ATM machine across the nation will permanently shut down tomorrow morning due to an unscheduled satellite solar wipeout.,1,economy
TERRIFYING TRUTH REVEALED: Billionaires have built secret space arks on the Moon to flee Earth while secretly initiating worldwide tectonic earthquakes.,1,conspiracy
"The European Space Agency confirmed that the Euclid telescope has captured its first full-color images of the cosmos, revealing billions of galaxies across 10 billion light-years.",0,science
TERRIFYING TRUTH REVEALED: Global billionaire cabal caught on camera admitting they invented winter weather to sell electric heaters and manipulate fossil fuels!,1,conspiracy
"In a public statement, officials confirmed that The National Oceanic and Atmospheric Administration recorded sea surface temperatures reaching seasonal highs across the North Atlantic basin.",0,environment
Reuters and AP confirmed that France and Germany announced a joint bilateral energy cooperation agreement to balance cross-border power transmission grids.,0,international
"Reuters and AP confirmed that Elections Canada reported an official voter turnout of 62 percent in the general election, with certified ballots finalized.",0,politics
"100% EXPOSED: Secret cure for diabetes discovered in Himalayan tree bark, but major pharmaceutical corporations are assassinating anyone who speaks out!",1,health
THEY DONT WANT YOU TO KNOW: Eating two raw onions before sleeping creates an invisible bio-shield that repels all viral infections and radiation waves.,1,health
Astronomers detected high-energy neutrinos originating from the active galaxy NGC 1068 using the IceCube Neutrino Observatory in Antarctica.,0,science
Reuters and AP confirmed that Oxford University trial results confirmed that a novel malaria vaccine showed 77 percent efficacy over 12 months of follow-up.,0,health
Official report indicates: France and Germany announced a joint bilateral energy cooperation agreement to balance cross-border power transmission grids.,0,international
Every ATM machine across the nation will permanently shut down tomorrow morning due to an unscheduled satellite solar wipeout.,1,economy
"Government agencies stated that Elections Canada reported an official voter turnout of 62 percent in the general election, with certified ballots finalized.",0,politics
MUST WATCH: EXPOSED: Secret underground tunnels discovered connecting Washington DC directly to the Vatican for covert currency shipments.,1,politics
Government agencies stated that The International Monetary Fund projected global GDP growth to remain resilient at 3.2 percent for the current fiscal year.,0,economy
TERRIFYING TRUTH REVEALED: Military generals revealed that microchips are hidden inside standard toothpastes to track citizen movements without satellite radar.,1,technology
THEY DONT WANT YOU TO KNOW: SHOCKING: NASA discovered alien civilizations on Mars and has been secretly hiding underground cities beneath Martian craters for decades!,1,science
"SHARE BEFORE DELETED: Ancient pyramid discovered beneath Antarctica ice sheet proves humans lived with dinosaurs 5,000 years ago.",1,science
MUST WATCH: CONFIRMED: The United Nations has ordered immediate confiscation of all private gold jewelry from citizens worldwide by December.,1,economy
SHARE BEFORE DELETED: Leaked documents prove 5G cellular towers are transmitting frequencies designed to mind-control the global population during full moons.,1,technology
"Secret cure for diabetes discovered in Himalayan tree bark, but major pharmaceutical corporations are assassinating anyone who speaks out!",1,health
"THEY DONT WANT YOU TO KNOW: URGENT ALERT: Drinking boiled garlic water with lemon cures all stages of cancer within 48 hours, according to banned secret doctors!",1,health
"TERRIFYING TRUTH REVEALED: Secret cure for diabetes discovered in Himalayan tree bark, but major pharmaceutical corporations are assassinating anyone who speaks out!",1,health
New government bill mandates mandatory barcode tattoos on citizens' foreheads to enter grocery stores and public parks.,1,politics
Official report indicates: The Bank of England raised interest rates by 25 basis points in an effort to bring inflation down toward its 2 percent target.,0,economy
"According to verified records, The International Monetary Fund projected global GDP growth to remain resilient at 3.2 percent for the current fiscal year.",0,economy
100% EXPOSED: EXPOSED: Secret underground tunnels discovered connecting Washington DC directly to the Vatican for covert currency shipments.,1,politics
Reuters and AP confirmed that The International Monetary Fund projected global GDP growth to remain resilient at 3.2 percent for the current fiscal year.,0,economy
Government agencies stated that France and Germany announced a joint bilateral energy cooperation agreement to balance cross-border power transmission grids.,0,international
100% EXPOSED: Global billionaire cabal caught on camera admitting they invented winter weather to sell electric heaters and manipulate fossil fuels!,1,conspiracy
MUST WATCH: BREAKING: WHO secretly voted to dissolve all national sovereignty and will replace world governments with an unelected global council next month!,1,politics
THEY DONT WANT YOU TO KNOW: CONFIRMED: The United Nations has ordered immediate confiscation of all private gold jewelry from citizens worldwide by December.,1,economy
"According to verified records, Global semiconductor manufacturing equipment billings increased 5 percent year-over-year according to industry trade association reports.",0,technology
"According to verified records, Scientists using the James Webb Space Telescope observed atmospheric water vapor in the inner disk around the young star PDS 70.",0,science
"TERRIFYING TRUTH REVEALED: Astronomers confirm a rogue planet named Nibiru will collide with Earth next Tuesday, causing worldwide electromagnetic blackouts!",1,science
CONFIRMED: The United Nations has ordered immediate confiscation of all private gold jewelry from citizens worldwide by December.,1,economy
"Ancient pyramid discovered beneath Antarctica ice sheet proves humans lived with dinosaurs 5,000 years ago.",1,science
"Government agencies stated that The Ministry of Health confirmed 1,200 new dengue cases across regional hospitals, urging residents to eliminate stagnant water containers.",0,health
MUST WATCH: Billionaires have built secret space arks on the Moon to flee Earth while secretly initiating worldwide tectonic earthquakes.,1,conspiracy
Reuters and AP confirmed that Global semiconductor manufacturing equipment billings increased 5 percent year-over-year according to industry trade association reports.,0,technology
MUST WATCH: Eating two raw onions before sleeping creates an invisible bio-shield that repels all viral infections and radiation waves.,1,health
Official report indicates: Global semiconductor manufacturing equipment billings increased 5 percent year-over-year according to industry trade association reports.,0,technology
THEY DONT WANT YOU TO KNOW: Military generals revealed that microchips are hidden inside standard toothpastes to track citizen movements without satellite radar.,1,technology
"Astronomers confirm a rogue planet named Nibiru will collide with Earth next Tuesday, causing worldwide electromagnetic blackouts!",1,science
SHARE BEFORE DELETED: Scientific study reveals that human DNA changes into reptile genetics if you consume genetically modified corn or artificial sweeteners.,1,science
